'gene', 'gene_cat', 'gene_presence','gene_count','eff_binary','gene_presence_int','effector', 'busco', 'chrom','start', 'stop', 'loc_cat', 'l2f', 'padj', 'LCA', 'age_group', 'dnds', 'dup_type'
TR4_II5_T0009493,core,69.0,138.0,0,69,no_effector,busco,TR4_II5_Chr3,3695366,3696206,core,1.65893532675109,0.31062403767449,all_fungi,0,0.4174,3
TR4_II5_T0009492,core,69.0,138.0,0,69,no_effector,busco,TR4_II5_Chr3,3694179,3696206,core,-1.91914380874841,0.285835551403187,all_fungi,0,0.4174,3
TR4_II5_T0001655,core,69.0,70.0,0,68,no_effector,busco,TR4_II5_Chr1,4496074,4498643,core,0.0842664938151378,0.922540824951159,all_fungi,0,0.001,0
TR4_II5_T0001657,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4498797,4500695,core,1.12910488711103,0.0123427298866863,all_fungi,0,0.2161,0
TR4_II5_T0001658,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4501374,4503387,core,-0.553349787376198,0.808210602413269,all_fungi,0,0.1527,0
TR4_II5_T0001666,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4519812,4520831,core,-1.48200444593094,0.252922567252934,ascomycota,1,0.001,0
TR4_II5_T0001667,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4522972,4527022,core,-1.93740838584984,0.0180181786546664,all_fungi,0,0.1988,0
TR4_II5_T0001670,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4527262,4529933,core,-1.55040658054786,0.207942252920675,all_fungi,0,0.0818,0
TR4_II5_T0001673,core,69.0,69.0,0,0,no_effector,no_busco,TR4_II5_Chr1,4536079,4539121,core,-0.578217529502726,0.799002628268901,hypocreales,2,0.5449,0
TR4_II5_T0001674,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4540382,4543676,core,0.0980877724588511,0.948261591549958,ascomycota,1,0.5108,0
TR4_II5_T0001675,core,69.0,69.0,0,0,no_effector,no_busco,TR4_II5_Chr1,4543873,4545104,core,-0.59881546710566,0.439161573138746,all_fungi,0,0.3913,0
TR4_II5_T0001680,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4547261,4548335,core,-0.941394221017141,0.356594978617217,all_fungi,0,0.2688,0
TR4_II5_T0001687,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4569314,4570745,core,0.282123572269243,0.481192196211899,all_fungi,0,0.001,0
TR4_II5_T0001688,softcore,68.0,68.0,0,0,no_effector,no_busco,TR4_II5_Chr1,4571371,4572043,core,1.5913007279453,0.460060328510785,ascomycota,1,NA,0
TR4_II5_T0001689,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4572237,4573606,core,-0.586393804366704,0.136377283393955,ascomycota,1,0.1564,0
TR4_II5_T0001691,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4574209,4577499,core,0.888041621292179,0.320209815097768,hypocreales,2,0.2645,0
TR4_II5_T0001698,core,69.0,69.0,0,0,no_effector,no_busco,TR4_II5_Chr1,4590050,4590443,core,1.86051721188798,0.365325370236985,FusOx,3,0.4083,0
TR4_II5_T0001699,core,69.0,69.0,0,0,no_effector,no_busco,TR4_II5_Chr1,4593340,4595272,core,-0.457861100836871,0.606548314567997,all_fungi,0,0.2143,0
TR4_II5_T0001700,softcore,68.0,69.0,0,0,no_effector,no_busco,TR4_II5_Chr1,4595279,4597993,core,-0.229017927741294,0.818526353356031,all_fungi,0,0.1413,0
TR4_II5_T0010818,accessory,58.0,63.0,0,0,no_effector,no_busco,TR4_II5_Chr4,1615333,1618811,core,-1.43171320110545,0.464594108116024,hypocreales,2,2.0005,1
TR4_II5_T0012061,accessory,28.0,28.0,0,0,no_effector,no_busco,TR4_II5_Chr4,4643597,4643952,core,NA,NA,hypocreales,2,0.001,0
TR4_II5_T0001701,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4598416,4599817,core,2.13871534446199,1.64917720815882e-06,all_fungi,0,0.0813,0
TR4_II5_T0001703,core,69.0,70.0,0,68,no_effector,busco,TR4_II5_Chr1,4599893,4601276,core,0.989220189974758,0.564369571979371,all_fungi,0,0.0835,0
TR4_II5_T0001705,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4602568,4605577,core,-0.648436073929961,0.233815403137156,ascomycota,1,0.3531,0
TR4_II5_T0001706,core,69.0,69.0,0,0,no_effector,no_busco,TR4_II5_Chr1,4605725,4606188,core,3.39728753998613,NA,FusOx,3,99.0,0
TR4_II5_T0001707,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4606646,4608641,core,-0.727417799850539,0.368768595219675,all_fungi,0,0.0357,0
TR4_II5_T0001711,core,69.0,70.0,0,0,no_effector,no_busco,TR4_II5_Chr1,4612405,4614652,core,-1.05078086690194,0.00250404748756121,all_fungi,0,0.001,0
TR4_II5_T0001712,softcore,68.0,68.0,0,68,no_effector,busco,TR4_II5_Chr1,4614800,4615373,core,-0.144667323576308,0.937608878276191,ascomycota,1,0.7783,0
TR4_II5_T0001713,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4615638,4616166,core,-0.629540414035832,0.735943988241654,all_fungi,0,1.1887,0
TR4_II5_T0001714,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4616617,4619004,core,0.703478167792198,0.359575580232299,ascomycota,1,NA,0
TR4_II5_T0001716,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4619258,4620109,core,-0.12051098724762,0.946883776836252,ascomycota,1,0.001,0
TR4_II5_T0001721,core,69.0,69.0,0,0,no_effector,no_busco,TR4_II5_Chr1,4625789,4626703,core,1.76251242368868,0.390356560863669,hypocreales,2,0.2451,0
TR4_II5_T0001722,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4628640,4629307,core,-0.00497343214283685,0.993676125554166,all_fungi,0,0.001,0
TR4_II5_T0001723,softcore,68.0,68.0,0,68,no_effector,busco,TR4_II5_Chr1,4629670,4630519,core,0.114036930451594,0.911422715083717,all_fungi,0,0.0229,0
TR4_II5_T0001724,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4630878,4631498,core,2.16520825593626,6.69328662283804e-07,all_fungi,0,0.001,0
TR4_II5_T0001725,core,69.0,69.0,0,0,no_effector,no_busco,TR4_II5_Chr1,4631798,4632506,core,0.950560448432168,0.00898466593753424,ascomycota,1,0.5167,0
TR4_II5_T0001728,core,69.0,69.0,0,0,no_effector,no_busco,TR4_II5_Chr1,4638804,4639933,core,-0.997833053200203,0.389155724583778,ascomycota,1,0.0897,0
TR4_II5_T0001729,softcore,68.0,68.0,0,68,no_effector,busco,TR4_II5_Chr1,4640057,4642876,core,-0.385667006128687,0.777131894854415,all_fungi,0,0.1622,0
TR4_II5_T0001733,core,69.0,69.0,0,0,no_effector,no_busco,TR4_II5_Chr1,4651537,4655203,core,0.688802048239112,0.318465737203017,hypocreales,2,NA,0
TR4_II5_T0001735,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4657010,4659448,core,-0.433790685250101,0.714771132031179,hypocreales,2,NA,0
TR4_II5_T0001737,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4660041,4663155,core,-0.89249816721042,0.000124768043090181,all_fungi,0,NA,0
TR4_II5_T0001738,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4666330,4667878,core,-0.224778198225319,0.821890538481108,all_fungi,0,0.1973,0
TR4_II5_T0001739,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4668258,4669890,core,-1.12599784210826,0.116361951058075,all_fungi,0,0.001,0
TR4_II5_T0001743,core,69.0,69.0,0,0,no_effector,no_busco,TR4_II5_Chr1,4674086,4675974,core,-0.88274238492132,0.387442845199916,hypocreales,2,0.5465,0
TR4_II5_T0001745,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4678342,4680149,core,-1.70998543119416,8.27858319202461e-06,ascomycota,1,0.0459,0
TR4_II5_T0001747,core,69.0,69.0,0,69,no_effector,busco,TR4_II5_Chr1,4682008,4682443,core,2.03395967215742,0.374074498120298,hypocreales,2,0.1493,0
